,B1,B2,B3,B4,B5,B6,B7,aoi
1902216,8906,9144,9577,9849,12021,12200,11311,31.0
1905436,8781,8938,9394,9550,11382,11727,10709,31.0
1905437,9071,9151,9620,10164,12103,13131,12497,31.0
1905438,9177,9319,9903,10534,13304,14292,13025,31.0
1908657,9048,9202,9670,9633,11398,11684,11125,31.0
1908658,9103,9306,9728,10186,11839,12525,11789,31.0
1908659,9223,9346,9765,10092,12436,13357,12447,31.0
1908660,9095,9120,9549,9862,11850,12845,12064,31.0
1911878,8845,9019,9408,9631,11968,11625,10829,31.0
1911879,8825,9013,9467,9716,12420,12356,11584,31.0
1911880,9125,9307,9696,10113,12273,12324,11612,31.0
1911881,8922,8968,9406,9477,12695,11896,11034,31.0
1911882,9174,9286,9593,9893,11565,11929,11204,31.0
1911883,9140,9200,9588,9750,11333,11663,10929,31.0
1915098,8883,9006,9476,9317,11728,11546,10788,31.0
1915099,8937,9106,9626,9726,12242,12113,11108,31.0
1915100,8913,8990,9498,9620,12683,12537,11521,31.0
1915101,9021,9094,9489,9589,11485,11878,11336,31.0
1915102,9152,9177,9532,10154,11562,12605,11958,31.0
1915103,9309,9390,9770,10186,11485,12147,11496,31.0
1915104,9077,9214,9512,9711,11258,11396,10718,31.0
1915105,8867,8986,9322,9411,10964,10963,10287,31.0
1918319,8884,9080,9447,9449,11269,11290,10501,31.0
1918320,9073,9295,9761,9940,10907,11194,10717,31.0
1918321,9022,9101,9393,9700,11910,12126,11498,31.0
1918322,9136,9212,9607,9781,11352,12087,11353,31.0
1918323,9153,9226,9532,9714,12084,12013,11421,31.0
1918324,9268,9341,9818,9897,12903,12106,11155,31.0
1918325,9164,9380,9756,9971,12223,12044,10944,31.0
1918326,8932,9054,9410,9439,11289,11424,10743,31.0
1918327,8719,8859,9312,9615,13399,12567,11216,31.0
1921540,8749,8958,9413,9382,11926,11537,10877,31.0
1921541,8924,9068,9493,9336,13117,11485,10575,31.0
1921542,8884,9049,9448,9537,12611,11528,10654,31.0
1921543,9442,9479,9733,9667,12271,11430,10662,31.0
1921544,9273,9354,9685,9887,11155,11501,11028,31.0
1921545,9223,9308,9719,10100,11945,12527,11819,31.0
1921546,9341,9512,9887,10288,11659,12374,12121,31.0
1921547,9385,9491,9851,10000,10911,11920,11377,31.0
1921548,8950,9282,9737,10165,12068,12237,11643,31.0
1921549,8979,9227,9846,10105,12366,12546,11665,31.0
1924760,8895,9187,9492,9287,12277,10653,10055,31.0
1924761,8570,8786,9250,9219,13753,11452,10613,31.0
1924762,8819,8949,9332,9582,11727,11605,10752,31.0
1924763,9266,9364,9686,9778,11871,11638,10947,31.0
1924764,9545,9608,9804,10077,11240,11678,11139,31.0
1924765,9287,9389,9719,10015,11664,12244,11709,31.0
1924766,9228,9333,9698,9912,12405,12299,11478,31.0
1924767,9253,9432,9697,9941,11101,12169,11640,31.0
1924768,9128,9339,9750,10023,11495,12046,11585,31.0
1924769,9024,9239,9698,9805,11191,11914,11310,31.0
1924770,8852,9149,9648,9754,11404,11663,11122,31.0
1924771,8595,8883,9344,9388,11589,11149,10496,31.0
1924772,8346,8589,9235,9125,11413,10801,10070,31.0
1927981,8800,9038,9286,9537,11088,10639,9962,31.0
1927982,8677,8773,9206,9174,12303,11040,10293,31.0
1927983,8907,9008,9417,9668,12280,12414,11593,31.0
1927984,8986,9143,9531,9780,11959,12308,11314,31.0
1927985,9111,9215,9551,9664,11910,12191,11478,31.0
1927986,9112,9279,9607,9867,11135,12385,11897,31.0
1927987,9000,9117,9537,9790,11479,12257,11635,31.0
1927988,9024,9134,9526,9714,11861,12523,11887,31.0
1927989,9147,9290,9810,10059,11505,12706,12147,31.0
1927990,9159,9368,9839,10036,11290,12157,11621,31.0
1927991,9121,9443,10109,10415,12445,12366,11360,31.0
1927992,9037,9303,9931,10047,12814,12722,11588,31.0
1927993,8795,9179,9897,9927,12481,12051,11134,31.0
1927994,8549,8929,9670,9876,12784,11650,10493,31.0
1931202,8905,9051,9477,9383,11811,11444,10719,31.0
1931203,8911,9104,9523,9718,12137,11838,10821,31.0
1931204,8899,8964,9286,9496,10938,11562,11149,31.0
1931205,8900,8966,9177,9387,10772,11520,11254,31.0
1931206,8919,8969,9297,9435,10958,11724,10770,31.0
1931207,9137,9245,9625,9964,11728,12256,11510,31.0
1931208,9168,9365,9813,9971,11591,11952,11322,31.0
1931209,9033,9183,9546,9759,12692,12297,11256,31.0
1931210,9040,9217,9663,9735,12585,12201,10970,31.0
1931211,9360,9598,10242,10631,12489,12370,11413,31.0
1931212,9218,9390,10097,9853,12825,12250,11150,31.0
1931213,8720,9107,9768,9855,12425,11669,10591,31.0
1931214,8596,8817,9490,9509,12200,11759,10850,31.0
1931215,8550,8785,9336,9398,11265,11555,10929,31.0
1931216,8730,9028,9601,9726,11515,11407,10579,31.0
1934422,9088,9185,9406,9349,10575,10459,10010,31.0
1934423,9106,9302,9679,9807,11656,11715,10745,31.0
1934424,9317,9427,9767,9955,11311,12212,11441,31.0
1934425,9248,9321,9712,9681,10973,11977,11438,31.0
1934426,8751,8784,9056,8989,10954,11029,10688,31.0
1934427,9176,9460,9963,10110,12584,12280,11720,31.0
1934428,9132,9437,10026,10449,13385,12547,11284,31.0
1934429,9437,9642,10218,10556,12423,12362,11594,31.0
1934430,9383,9523,10118,10108,12289,11897,11029,31.0
1934431,9057,9106,9740,9499,13433,12076,11046,31.0
1934432,9294,9494,9952,9996,11271,11871,11465,31.0
1934433,8813,9032,9609,9707,12198,11707,10918,31.0
1934434,8518,8855,9299,9292,12968,11675,10348,31.0
1934435,8572,8827,9376,9372,11632,11279,10471,31.0
1934436,8714,8992,9479,9688,11857,11560,10661,31.0
1937643,9073,9191,9534,9642,11647,11407,10575,31.0
1937644,9088,9172,9589,9488,12612,11689,10868,31.0
1937645,9338,9530,10053,10266,12170,11902,11012,31.0
1937646,9503,9644,10043,10217,12533,11984,11067,31.0
1937647,8822,8958,9523,9440,12224,11583,10421,31.0
1937648,8995,9111,9758,9744,13110,12645,11324,31.0
1937649,9029,9258,9881,9819,12876,12462,11455,31.0
1937650,9070,9245,9751,9908,12179,12311,11423,31.0
1937651,9050,9190,9548,9656,12916,11935,10776,31.0
1937652,8933,9174,9521,9638,13302,11777,10571,31.0
1937653,9139,9277,9689,9933,11480,12345,11499,31.0
1937654,8961,9170,9581,9875,11333,11929,11362,31.0
1937655,8864,9095,9561,9699,12066,11407,10361,31.0
1937656,9061,9419,10297,10384,14529,12968,10585,31.0
1937657,9244,9567,10255,10218,14431,11997,10166,31.0
1940864,9395,9622,10064,10095,11731,11582,10952,31.0
1940865,9218,9292,9800,9720,12829,12061,10996,31.0
1940866,9555,9725,10445,10282,13194,13489,12738,31.0
1940867,9641,9790,10261,10214,12583,12497,11848,31.0
1940868,9368,9492,10000,9999,12928,12894,11859,31.0
1940869,9001,9171,9667,9772,13934,13166,11653,31.0
1940870,8836,9015,9554,9468,14333,12713,11338,31.0
1940871,8958,9142,9599,9771,12511,12376,11458,31.0
1940872,9172,9246,9561,9658,12010,11639,10786,31.0
1940873,9256,9353,9752,9809,12139,12104,11345,31.0
1940874,9073,9239,9621,9862,11590,11986,11355,31.0
1940875,8952,9165,9551,9832,11147,10644,10203,31.0
1940876,10499,11072,11475,11932,13336,12354,10950,31.0
1940877,11694,12317,13355,13615,17197,15142,11905,31.0
1944084,9248,9409,9759,9927,11272,11186,10609,31.0
1944085,9092,9192,9463,9480,12003,12112,11113,31.0
1944086,9309,9428,9878,10133,14002,13150,11892,31.0
1944087,9665,9851,10728,11427,16663,17464,15043,31.0
1944088,9485,9609,9978,10346,13703,14279,12701,31.0
1944089,9254,9344,9771,9861,12530,12106,11184,31.0
1944090,9083,9179,9628,9834,12275,12634,11871,31.0
1944091,9127,9319,9812,9939,11488,12581,11615,31.0
1944092,9092,9242,9607,9699,11955,11966,11049,31.0
1944093,9233,9353,9791,9955,11261,12317,11548,31.0
1944094,9297,9369,9667,9885,11885,12492,11622,31.0
1944095,9228,9371,9801,9931,11456,12131,11402,31.0
1944096,9198,9398,9874,10123,12303,12248,11402,31.0
1944097,12807,13437,14404,14881,19111,15730,12369,31.0
1944098,10779,11226,12619,12767,16373,14577,11333,31.0
1947305,9411,9535,9954,10231,12237,12871,11969,31.0
1947306,9138,9253,9759,9999,12981,12907,11770,31.0
1947307,9316,9430,9744,9881,12735,12920,11560,31.0
1947308,9258,9289,9817,9784,15056,14584,12435,31.0
1947309,8994,9063,9532,9442,14781,13935,12406,31.0
1947310,9453,9568,9929,10075,12737,12314,11322,31.0
1947311,8945,9216,9713,10035,12064,12506,11611,31.0
1947312,8883,9112,9546,9654,11664,12234,11415,31.0
1947313,8772,8935,9477,9498,11233,11509,10786,31.0
1947314,9081,9259,9722,9944,11279,11881,11408,31.0
1947315,8940,9214,9548,9911,11297,11958,11249,31.0
1947316,9259,9350,9781,10145,11874,12160,11181,31.0
1947317,9333,9745,10479,10911,12690,13512,12427,31.0
1947318,11415,11880,12512,12957,16760,14730,11795,31.0
1950526,9352,9496,9959,10218,11536,12824,12342,31.0
1950527,9426,9577,9936,10298,12016,12852,12490,31.0
1950528,9203,9263,9571,9875,12339,12533,12021,31.0
1950529,8993,9054,9330,9339,13514,11968,11169,31.0
1950530,8862,8834,9242,9193,13229,12132,10946,31.0
1950531,9113,9282,9638,9978,12287,12601,11885,31.0
1950532,8788,9039,9572,9815,11065,12146,11580,31.0
1950533,8578,9022,9653,9915,11612,12304,11563,31.0
1950534,8896,9207,9954,10015,12238,12492,11478,31.0
1950535,9512,10011,10587,10818,12845,12874,11583,31.0
1950536,10422,10521,11347,11090,12929,13137,11734,31.0
1950537,10594,11257,12017,12322,13815,13263,11574,31.0
1950538,9811,10116,10744,11320,12961,12714,11688,31.0
1953747,9125,9324,9786,10271,12146,12686,11924,31.0
1953748,9369,9421,9761,10164,12545,13304,12718,31.0
1953749,9178,9168,9563,9546,13177,12808,11870,31.0
1953750,9120,9147,9416,9211,14268,12460,11303,31.0
1953751,9201,9298,9675,9581,13126,12624,11359,31.0
1953752,9167,9398,9854,10250,12020,12595,12018,31.0
1953753,9273,9478,10010,10329,12202,12870,11837,31.0
1953754,9429,10132,11155,11464,13539,13119,11580,31.0
1953755,9777,10283,11207,11820,14669,13491,11428,31.0
1953756,10087,10629,11562,11646,13570,12952,11306,31.0
1953757,9374,9934,10741,11302,14002,13076,11364,31.0
1953758,9077,9202,10026,9995,13838,12940,11291,31.0
1953759,8792,9023,9676,9603,12941,12198,11084,31.0
1956968,8721,8909,9380,9442,13400,13000,11860,31.0
1956969,8973,9191,9748,10340,12442,13175,12648,31.0
1956970,9188,9279,9787,10252,12231,12662,12058,31.0
1956971,9551,9813,10154,10377,11595,11747,11137,31.0
1956972,10047,10402,10959,11660,13806,12924,11449,31.0
1956973,10325,10499,11305,11364,13330,12997,11263,31.0
1956974,9782,10431,10974,11451,13056,12498,11371,31.0
1956975,9289,9641,10653,10695,14002,13343,11503,31.0
1956976,8940,9318,10087,9965,12398,12234,11178,31.0
1956977,8783,9051,9534,9671,11546,11731,11018,31.0
1956978,9397,9566,10201,10130,12637,12725,12047,31.0
1956979,9005,9341,9880,9942,11807,12229,11427,31.0
1960189,9022,9713,10424,10978,12926,12603,11433,31.0
1960190,9690,9944,10618,11051,13001,13436,12166,31.0
1960191,9424,9770,10378,10504,11865,11896,10802,31.0
1960192,9653,9721,10035,9927,11523,12035,10969,31.0
1960193,9988,10148,10638,10624,12189,12271,11143,31.0
1960194,9228,9376,9864,10133,12087,12293,11443,31.0
1960195,9194,9457,9829,9933,11375,11964,11466,31.0
1960196,8725,9028,9816,9736,14586,12916,11727,31.0
1960197,8712,9013,9569,9734,12549,12403,11279,31.0
1960198,8916,9088,9478,9637,11607,12022,11160,31.0
1960199,9410,9568,9950,10055,13080,12849,11691,31.0
1960200,9031,9169,9742,9865,12063,12261,11259,31.0
1963409,9372,9870,10637,11183,13548,13492,11832,31.0
1963410,9659,9921,10782,10698,12990,12729,11092,31.0
1963411,8820,9389,10131,10320,12519,11668,10654,31.0
1963412,8919,9104,9656,9835,11454,12052,11401,31.0
1963413,9067,9313,9703,9914,12026,12000,11157,31.0
1963414,8905,8958,9199,9132,11292,11343,10602,31.0
1963415,8968,9120,9464,9579,11033,11514,10739,31.0
1963416,9266,9464,9894,10099,11542,12344,11706,31.0
1963417,9126,9404,9885,10046,11457,12536,11631,31.0
1963418,9094,9160,9691,9585,12678,12320,11376,31.0
1963419,9210,9384,9749,9833,12813,12355,11146,31.0
1963420,9158,9223,9677,9877,12765,12517,11439,31.0
1966630,8826,9172,9710,9737,13061,11410,10151,31.0
1966631,8230,8539,9045,9030,12823,11140,9822,31.0
1966632,8488,8766,9362,9236,11808,11058,10371,31.0
